"Timestamp","Distance Filter","Accuracy","Speed","Course","Distance","Latitude","Longitude"
2017-08-26_08:38:39,0,10,12,253,3,33.86342,-118.38974
2017-08-26_08:38:40,0,10,15,254,4,33.86342,-118.38977
2017-08-26_08:38:41,0,10,18,256,5,33.86341,-118.38982
2017-08-26_08:38:42,0,10,21,257,6,33.86340,-118.38987
2017-08-26_08:38:43,0,10,26,259,6,33.86339,-118.38993
2017-08-26_08:38:44,0,10,29,260,9,33.86338,-118.39002
2017-08-26_08:38:45,0,10,31,263,10,33.86336,-118.39012
2017-08-26_08:38:46,0,10,33,265,10,33.86335,-118.39022
2017-08-26_08:38:47,0,10,35,266,10,33.86334,-118.39033
2017-08-26_08:38:48,0,10,38,268,11,33.86334,-118.39044
2017-08-26_08:38:49,0,10,42,268,12,33.86333,-118.39057
2017-08-26_08:38:50,0,10,45,268,12,33.86333,-118.39069
2017-08-26_08:38:51,0,10,46,268,13,33.86333,-118.39083
2017-08-26_08:38:52,0,10,46,269,13,33.86332,-118.39097
2017-08-26_08:38:53,0,10,45,268,13,33.86332,-118.39110
2017-08-26_08:38:54,0,10,44,266,13,33.86331,-118.39123
2017-08-26_08:38:55,0,10,42,260,12,33.86330,-118.39135
2017-08-26_08:38:56,0,10,41,253,12,33.86326,-118.39147
2017-08-26_08:38:57,0,10,39,249,11,33.86323,-118.39159
2017-08-26_08:38:58,0,10,36,243,11,33.86319,-118.39168
2017-08-26_08:38:59,0,10,36,240,11,33.86314,-118.39178
2017-08-26_08:39:00,0,10,34,235,9,33.86310,-118.39185
2017-08-26_08:39:01,0,10,35,229,10,33.86305,-118.39193
2017-08-26_08:39:02,0,10,35,224,10,33.86299,-118.39201
2017-08-26_08:39:03,0,10,30,221,9,33.86293,-118.39207
2017-08-26_08:39:04,0,10,22,221,7,33.86288,-118.39211
2017-08-26_08:39:05,0,10,14,221,6,33.86285,-118.39215
2017-08-26_08:39:06,0,10,8,222,4,33.86282,-118.39218
2017-08-26_08:39:07,0,10,6,225,3,33.86281,-118.39220
2017-08-26_08:39:08,0,10,3,228,2,33.86281,-118.39220
2017-08-26_08:39:09,0,10,2,229,1,33.86280,-118.39221
2017-08-26_08:39:10,0,10,0,229,0,33.86280,-118.39221
2017-08-26_08:39:12,0,10,0,229,0,33.86280,-118.39221
2017-08-26_08:39:14,0,10,0,229,0,33.86280,-118.39221
2017-08-26_08:39:18,0,10,3,229,1,33.86280,-118.39220
2017-08-26_08:39:19,0,10,6,231,2,33.86279,-118.39221
2017-08-26_08:39:20,0,10,8,236,3,33.86278,-118.39223
2017-08-26_08:39:21,0,10,6,243,3,33.86277,-118.39226
2017-08-26_08:39:22,0,10,2,248,2,33.86278,-118.39227
2017-08-26_08:39:23,0,10,0,248,0,33.86278,-118.39227
2017-08-26_08:39:25,0,10,0,248,0,33.86278,-118.39227
2017-08-26_08:39:27,0,10,0,248,0,33.86278,-118.39227
2017-08-26_08:39:28,0,10,0,248,0,33.86278,-118.39227
2017-08-26_08:39:29,0,10,0,248,0,33.86278,-118.39227
2017-08-26_08:39:41,0,10,0,248,0,33.86278,-118.39227
2017-08-26_08:39:42,0,10,0,248,0,33.86278,-118.39227
2017-08-26_08:39:47,0,10,0,248,0,33.86278,-118.39227
2017-08-26_08:39:49,0,10,0,247,0,33.86278,-118.39227
2017-08-26_08:39:50,0,10,0,248,0,33.86278,-118.39227
2017-08-26_08:39:51,0,10,6,251,1,33.86278,-118.39226
2017-08-26_08:39:52,0,10,13,264,3,33.86278,-118.39229
2017-08-26_08:39:53,0,10,18,288,5,33.86279,-118.39234
2017-08-26_08:39:54,0,10,24,311,7,33.86282,-118.39239
2017-08-26_08:39:55,0,10,32,332,9,33.86288,-118.39244
2017-08-26_08:39:56,0,10,37,341,10,33.86296,-118.39248
2017-08-26_08:39:57,0,10,45,345,12,33.86306,-118.39252
2017-08-26_08:39:58,0,10,50,346,14,33.86318,-118.39256
2017-08-26_08:39:59,0,10,53,347,15,33.86331,-118.39260
2017-08-26_08:40:00,0,10,55,347,15,33.86344,-118.39263
2017-08-26_08:40:01,0,10,55,347,16,33.86357,-118.39266
2017-08-26_08:40:02,0,10,54,347,15,33.86370,-118.39271
2017-08-26_08:40:03,0,10,52,347,15,33.86382,-118.39275
2017-08-26_08:40:04,0,10,50,344,14,33.86394,-118.39279
2017-08-26_08:40:05,0,10,45,344,13,33.86405,-118.39283
2017-08-26_08:40:06,0,10,39,345,12,33.86415,-118.39286
2017-08-26_08:40:07,0,10,33,345,10,33.86423,-118.39289
2017-08-26_08:40:08,0,10,28,346,9,33.86430,-118.39291
2017-08-26_08:40:09,0,10,23,346,7,33.86436,-118.39293
2017-08-26_08:40:10,0,10,19,347,6,33.86441,-118.39294
